,ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAtext,MisconceptionBtext,MisconceptionCtext,MisconceptionDtext
67,Calculate the square root of a number,"Square Roots, Cube Roots, etc",A,What is the square root of nine?,\( 3 \),\( 4.5 \),\( 81 \),\( 18 \),nan,Halves when asked to find the square root,Squares when asked to find the square root,Mixes up squaring and multiplying by 2 or doubling
68,Solve quadratic equations using completing the square in the form (x + q)² + r ,Quadratic Equations,B,"One of these equations has no real solutions
Which is it?",\( (w-4)^{2}-16=0 \),\( (w-4)^{2}+16=0 \),\( (w-4)^{2}=0 \),\( (w-4)^{2}-4=0 \),nan,nan,Believes 0 has no square root,nan
69,Compare relative frequencies in order to determine which prediction is likely to be more reliable,Experimental Probability and Relative Frequency,B,"A vegetarian restaurant wants to know people's eating habits
\( 50 \) people in Town \( A \) are asked if they eat meat. \begin{tabular}{|c|c|}
\hline \multicolumn{2}{|c|}{ Town A } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 39 \) \\
\hline No & \( 11 \) \\
\hline
\end{tabular} \( 200 \) people in Town B are asked if they eat meat. \begin{tabular}{|cc|}
\hline \multicolumn{2}{|c|}{ Town B } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 143 \) \\
\hline No & \( 57 \) \\
\hline
\end{tabular} Which results are more reliable?",Town A,Town B,They are the same,Impossible to say,Does not know that sample size affects reliability,nan,Does not know that sample size affects reliability,Does not know that sample size affects reliability
70,Calculate percentage of an amount using a calculator where the percent is an integer,Percentages of an Amount,B,"What should replace the star? ![A percentage number line representing the value 630 with a star above the 84% mark]() Use your calculator, if needed, and give your answer to \( 1 \) decimal place.",\( 750 \),\( 529.2 \),\( 546 \),\( 614 \),Thinks when finding a percentage you divide by the percentage being asked,nan,nan,nan
71,Interpret continuous data using a line graph,Time Series and Line Graphs,A,"![A line graph with title ""Height of rocket"". 
The x-axis is titled ""Time in seconds"" and the scale is labelled from 0 to 90 seconds in steps of 10 seconds.
The y-axis is titled ""Height in metres"" and the scale is labelled from 0 to 60 in steps of 10 metres. The following points are plotted and joined together: (0, 0), (10, 10), (20, 30),(30, 40), (40, 50), (60, 60).
]() How many metres did the rocket travel between \( 20 \) and \( 50 \) seconds?",\( 25 \),\( 85 \),\( 30 \),\( 55 \),nan,Adds instead of subtracts when asked to find the difference,"When finding the difference between two points on a time series graph, only uses one of the points. ","When finding the difference between two points on a time series graph, only uses one of the points. "
72,Know the equation of the axes,Horizontal and Vertical Lines,D,What is the equation of the \( y \) axis?,\( y=1 \),\( y=0 \),\( y=x \),\( x=0 \),Thinks y =1 is the y axis,Confuses the equations of vertical and horizontal lines,Thinks x = y is an axis,nan
73,Round integers to the nearest 1000,"Rounding to the Nearest Whole (10, 100, etc)",D,What is \( 326 \) rounded to the nearest \( 1000 \) ?,\( 1000 \),\( 3000 \),\( 500 \),\( 0 \),Rounds up instead of down,nan,Rounds to the wrong degree of accuracy (rounds too little),nan
74,Solve quadratic equations using balancing,Quadratic Equations,D,"One of these equations has no real solutions.
Which is it?",\( t^{2}-45=0 \),\( t^{2}-45=-45 \),\( t^{3}=-45 \),\( t^{2}=-45 \),nan,Believes 0 is not a real solution to an equation,Believes a number raised to a power will always give a positive answer,nan
75,Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,A,"The area of the rectangle on the right is \( 8 \mathrm{~cm}^{2} \).

To find the value of \( x \), Sally uses:
\(x_{n+1}=\frac{8}{9}-\frac{x^{3}{ }_{n}}{9}\)

If \( x_{0}=0 \), what is the value of \( x \) to \( 3 \) decimal places? ![A rectangle with the base labelled x and the perpendicular height labelled x^2 + 9]()",\( 0.826 \),\( 0.830 \),\( 0.825 \),\( 0.8101 \),nan,Stops iteration too early when solving equations,Stops iteration too early when solving equations,Stops iteration too early when solving equations
76,Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,C,The diagonals of a rectangle with different length sides \(_____________\) intersect at right-angles ![A rectangle](),always,sometimes,never,I don't know,Does not know the properties of a rectangle,Does not know the properties of a rectangle,nan,Does not know the properties of a rectangle
77,Identify perpendicular lines written in the form y = mx + c,Perpendicular Lines,B,"Which of the following lines is perpendicular to
\[
y=3 x-2 ?
\]",\( y=\frac{1}{3} x+1 \),\( y=5-\frac{1}{3} x \),\( y=3 x+7 \),\( x=3 y-4 \),Believes the gradients of perpendicular lines are reciprocals of the same sign,nan,Confuses the meaning of parallel and perpendicular,nan
78,"Given the area of a parallelogram, calculate a missing dimension",Area of Simple Shapes,A,"The area of this parallelogram is \( 24 \mathrm{~cm}^{2} \)

What measurement should replace the star? ![Parallelogram with base length 6cm and the perpendicular height has a star symbol.]()",\( 4 \mathrm{~cm} \),\( 2 \mathrm{~cm} \),\( 8 \mathrm{~cm} \),Not enough information,nan,When finding a missing side of a parallelogram given the area completes an extra step of dividing by 2,When finding the area of a parallelogram finds base x perpendicular height but divides the answer by 2 ,Does not realise we can find a missing length if we know the base of a parallelogram and its area. 
79,Solve quadratic inequalities from the graph of the quadratic,Solving Quadratic Inequalities,A,"Using the graph of
\(
y=x^{2}-x-6
\)

What is the correct way to write the solution to
\(
y=x^{2}-x-6 \geq 0 ?
\) ![The is a parabolic graph that crosses the x axis at the points (-2,0) and (3,0) and crosses the y axis at (0, -6).]()",\( \{x \leq-2\} \cup\{x \geq 3\} \),\( \{-2 \leq x \leq 3\} \),\( \{-2 \geq x \geq 3\} \),\( \{x \geq-2\} \cup\{x \leq 3\} \),nan,Believes the solution of a quadratic inequality is always the interval between the roots,Believes any two inequalities can be combined into a double inequality,Mixes up greater than and less than symbols
80,Fill in regions of a double Venn diagram with numbers from given information,Venn Diagrams,C,"In which region would \( \mathbf{1 5} \) belong? ![A Venn diagram with two sets, one labelled Square number and one labelled Odd number. Square Number without the intersection is labelled A, Odd Number without the intersection is labelled C, the intersection of the two sets is labelled B, and outside the circles is labelled D.]()",A,B,C,D,Does not know what a square number is,Does not know what a square number is,nan,Mixes up odd and even numbers
81,Order integers with a different number of digits,Place Value,B,"Which of these options show the numbers
650,312  
3,506,212
3,652
605,321
in order from smallest to largest?","\( \begin{array}{l}3,506,212 \\ 3,652 \\ 605,321 \\ 650,312\end{array} \)","\( \begin{array}{l}3,652 \\ 605,321 \\ 650,312 \\ 3,506,212\end{array} \)","\( \begin{array}{l}605,321 \\ 3,506,212 \\ 650,312 \\ 3,652\end{array} \)","\( \begin{array}{l}3,506,212 \\ 650,312 \\ 605,321 \\ 3,652\end{array} \)",Orders integers based on first digits without taking into account place value,nan,"When ordering integers, orders from the digits at the end of the number instead of the digits at the start",nan
82,Understand inequality notation,Inequalities on Number Lines,C,"Which of the following shows "" \( x \) is greater than \( 9 \) ""?",\( x<9 \),\( x \leq 9 \),\( x>9 \),\( x \geq 9 \),Mixes up greater than and less than symbols,nan,nan,"When using inequality notation, thinks ""greater than/less than or equal to"" symbols are instead the ""greater than/less than"" symbols and vice versa"
83,Round numbers greater than 1 to one significant figure,Rounding to Significant Figures,A,"Round this number to \( 1 \) significant figure:
\( 400099 \)",\( 400000 \),\( 500000 \),\( 400100 \),\( 400099 \),nan,Rounds up instead of down,Rounded to nearest 100 instead of 1sf,nan
84,Recognise the equations of horizontal lines from a diagram,Horizontal and Vertical Lines,B,What is the equation of this line? ![A graph of a horizontal line going through 3 on the y axis. ](),\( y=3 x \),\( y=3 \),\( x=3 \),\( x=3 y \),Includes the x variable when giving the equation of a horizontal line,nan,Thinks x = ? is a horizontal line through ? ,"Believes the equation of a horizontal line is in the form x = ay, where a is the y intercept"
85,Generate a descending integer linear sequence from the nth term rule,Linear Sequences (nth term),C,"What is the first term of the sequence given by this rule:
\[
2-7 n
\]",\( 1 \),\( -7 \),\( -5 \),\( 9 \),Thinks the first term of a sequence must be 1,"When finding the nth term of a linear sequence, thinks the the first term is the coefficient in front of n.",nan,nan
86,Add proper fractions with the same denominator,Adding and Subtracting Fractions,D,"Work out:
\(
\frac{4}{11}+\frac{7}{11}
\)
Write your answer in its simplest form.",\( \frac{11}{22} \),\( \frac{1}{2} \),\( \frac{11}{11} \),\( 1 \),"When adding fractions, adds the numerators and denominators","When adding fractions, adds the numerators and denominators",Forgot to simplify the fraction,nan
87,"Given a sketch of a quadratic graph, f(x), write down the solutions to f(x) = a",Quadratic Equations,B,"According to the graph, what is the approximate solution to
\(x^{2}+4 x-1=-6\) ![A set of axes with the quadratic graph y=x^2+4x-1 drawn on.]()","\( x=4.25, \quad x=-0.25 \)",No real solutions,"\( x=-4.25, \quad x=0.25 \)",\( x=-1 \),nan,nan,Solves for y=0 instead of given y-value when reading from a quadratic graph,Finds the y intercept when asked to read the solution to a quadratic equation from a graph
88,Calculate the volume of other prisms when the dimensions are given in the same units,Volume of Prisms,D,"![A triangular based prism]() Tom likes to remember:

Volume of a prism = Area of cross section \( X \) depth

In this shape, what length is the ""depth""?",\( 5 \mathrm{~mm} \),\( 7 \mathrm{~mm} \),\( 10 \mathrm{~mm} \),\( 15 \mathrm{~mm} \),Thinks depth always goes front to back in a diagram of a 3D shape,nan,nan,nan
89,Generate a descending integer linear sequence from the nth term rule,Linear Sequences (nth term),D,"What is the first term of the sequence given by this rule:
\[
1-5 n
\]",\( 1 \),\( -5 \),\( 6 \),\( -4 \),Thinks the first term of a sequence must be 1,"When finding the nth term of a linear sequence, thinks the the first term is the coefficient in front of n.",nan,nan
90,Find missing angles in a non-special quadrilateral,Angles in Polygons,D,What is the size of angle \( p \) in this quadrilateral? ![Not drawn to scale](),\( 120^{\circ} \),\( 50^{\circ} \),\( 70^{\circ} \),Not enough information to work it out,Assumes that opposite angles are equal in a quadrilateral,Does not know what dashes on the sides of shapes mean,Does not know what dashes on the sides of shapes mean,nan
91,Rearrange a quadratic equation so that it is in the correct form to be factorised,Quadratic Equations,D,What would be the most useful first step if we wanted to solve the following quadratic equation? \( x^{2}+7 x=8 \),Divide by \( x \),Square root both sides of the equation,Subtract \( 7 x \) from both sides of the equation,Subtract \( 8 \) from both sides of the equation,Does not realise a quadratic must be in the form ax^2+bx+c=0 to be factorised,Does not realise a quadratic must be in the form ax^2+bx+c=0 to be factorised,Does not realise a quadratic must be in the form ax^2+bx+c=0 to be factorised,nan
